,id,name,university,emp_rate,career,total_students,new_graduates_number,public_cost,private_cost,public_quality_rating,private_quality_rating,occupation_rate,unemployment_rate,informality_rate,quality_employment_probability,average_salary,career_rank,women_salary,men_salary,under_30_salary,over_30_salary,formal_salary,informal_salary,postgrad_percentage,postgrad_salary,salary_increase
23,11,Licenciatura en Finanzas,2,82.1,economía,144.332,4147,$44.483,$97.957,Excelente,Excelente,95.1%,4.9%,22.0%,78.6%,$29.754,2°,$26.877,$31.332,$28.167,$30.065,$32.136,$15.995,12.9%,$56.013,"237,78%"
24,12,Comunicación,1,82.6,comunicación_y_periodismo,251.824,10.476,$40.929,$391.302,Insegura,Insegura,95.9%,4.1%,27.6%,73.3%,$20.596,23°,$19.508,$21.967,$16.668,$21.930,$22.906,$15.417,5.5%,$34.421,"195,89%"
25,12,Licenciatura en Comunicación y Producción Digital,2,83.2,comunicación_y_periodismo,251.824,10.476,$40.929,$391.302,Insegura,Insegura,95.9%,4.1%,27.6%,73.3%,$20.596,23°,$19.508,$21.967,$16.668,$21.930,$22.906,$15.417,5.5%,$34.421,"195,89%"
26,13,Arquitectura,1,88.7,arquitectura_y_urbanismo,361.035,16.191,$52.066,$185.974,Insegura,Insegura,95.3%,4.7%,28.5%,70.9%,$24.834,9°,$22.322,$25.730,$20.794,$26.403,$27.427,$18.037,3.7%,$36.343,"170,49%"
27,13,Licenciatura en Arquitectura,2,88.3,arquitectura_y_urbanismo,361.035,16.191,$52.066,$185.974,Insegura,Insegura,95.3%,4.7%,28.5%,70.9%,$24.834,9°,$22.322,$25.730,$20.794,$26.403,$27.427,$18.037,3.7%,$36.343,"170,49%"
28,14,Diseño Gráfico,1,83.5,diseño_y_comunicación_gráfica_y_editorial,199.645,9837,-,-,-,-,94.8%,5.2%,33.9%,64.8%,$-,-°,$-,$-,$-,$-,$-,$-,3.4%,$-,-%
29,14,Licenciatura en Diseño,2,86.8,diseño_y_comunicación_gráfica_y_editorial,199.645,9837,-,-,-,-,94.8%,5.2%,33.9%,64.8%,$-,-°,$-,$-,$-,$-,$-,$-,3.4%,$-,-%
30,15,Urbanismo,1,88.7,arquitectura_y_urbanismo,361.035,16.191,$52.066,$185.974,Insegura,Insegura,95.3%,4.7%,28.5%,70.9%,$24.834,9°,$22.322,$25.730,$20.794,$26.403,$27.427,$18.037,3.7%,$36.343,"170,49%"
31,15,Licenciatura en Urbanismo,2,88.3,arquitectura_y_urbanismo,361.035,16.191,$52.066,$185.974,Insegura,Insegura,95.3%,4.7%,28.5%,70.9%,$24.834,9°,$22.322,$25.730,$20.794,$26.403,$27.427,$18.037,3.7%,$36.343,"170,49%"
32,16,Historia,1,80.1,historia_y_arqueología,42.289,1040,-,-,-,-,98.0%,2.0%,18.7%,81.4%,$-,-°,$-,$-,$-,$-,$-,$-,42.2%,$-,-%
33,16,Licenciatura en Humanidades Digitales e Inteligencia Artificial,2,89.4,historia_y_arqueología,42.289,1040,-,-,-,-,98.0%,2.0%,18.7%,81.4%,$-,-°,$-,$-,$-,$-,$-,$-,42.2%,$-,-%
